ROUTENAME,Place
분노의 윤리학,거여1단지아파트
특별수사: 사형수의 편지,인천광역시 중구 송학동1가
앵무새 몸으로 울었다,금강연
탐정 홍길동: 사라진 마을,의귀리공동목장
영화는 영화다,수명산SK뷰아파트
돌연변이,경기도 안산시 상록구 해양동
나운규 일생,서울특별시 은평구 수색동
이쁜 것들이 되어라,천천초등학교
신기전(神機箭),화성행궁
모던 보이,천주교권선동성당
오빠가 돌아왔다,고등파출소
R2B: 리턴 투 베이스,스포츠아일랜드
오빠가 돌아왔다,수원중부경찰서
미쓰 와이프,한일베라체에코플러스아파트(구 수원호텔캐슬)
사라진 밤,포프라자
인간중독,순천드라마촬영장(구 순천 드라마세트장)
신기전(神機箭),송광사
내안의 그놈,진원프라자(구 스마일멀티방일산웨스텀점)
그날의 분위기,에그박스 스토리웨이 광명역점
4등,김천시청
바보,풍납토성
뺑반,용인도시공사
페이스,부산광역시청
걷기왕,시흥시하수슬러지건조장
미성년,고한.사북공영버스터미널
밀양,경상남도 밀양시 내일동 공터 1
복수는 나의 것,서울특별시 관악구 신림동 공터 1
세계일주,서울신석초등학교
해결사,인현상가
"날, 보러와요",신송빌딩(구 영등포구 신송빌딩 신송그룹)
치외법권,광주광역시 동구 지산동 공터 1
베테랑,HDC현대산업개발
시간이탈자,양산양우내안애3차센트럴아파트
취화선,경주양동마을
수상한 그녀,통인1939(구 고운당)
페르소나,서울주얼리지원센터
페르소나,용인경찰체력단련장(구 용인경찰대학교)
페르소나,경기도 평생교육진흥원
페르소나,까사684
페르소나,예카페
우리들,함석헌기념관
R2B: 리턴 투 베이스,양화선착장
나를 잊지 말아요,서울특별시 강남구 논현1동 공터 1
독전,아난티코드서울주식회사
어느날,국립재활원
제보자,아리랑국제방송
꿈보다 해몽,봄날아트홀(구 아리랑소극장)
남산의 부장들,용인경찰체력단련장(구 용인경찰대학교)
키친,아시아나항공 본사
호텔 레이크,얼큰이(구 아중촌식당)
계춘할망,한신IT타워2차(구 아진세트장)
디바,대전액션영상센터
베테랑,아트박스 청주점
"날, 보러와요",미전(구 가양동 미전빌라)
마약왕,가재울8구역아파트
남산의 부장들,고종의길
미인도,농암종택
미인도,병산서원
이상한 나라의 수학자,지디 팰리스타워
퀴즈왕,안산갈대습지
슈퍼스타 감사용,안산공업고등학교
내부자들,공덕시장
내부자들,부산항
내부자들,스타돔나이트클럽
